"","Date","Day","Country","Type","Value","TotalValue"
"278","4/20/2014",29,"SierraLeone","Deaths",0,5
"279","4/20/2014",29,"Nigeria","Cases",0,0
"280","4/20/2014",29,"Nigeria","Deaths",0,0
"281","4/20/2014",29,"Senegal","Cases",0,0
"282","4/20/2014",29,"Senegal","Deaths",0,0
"283","4/20/2014",29,"UnitedStates","Cases",0,0
"284","4/20/2014",29,"UnitedStates","Deaths",0,0
"285","4/20/2014",29,"Spain","Cases",0,0
"286","4/20/2014",29,"Spain","Deaths",0,0
"287","4/20/2014",29,"Mali","Cases",0,0
"288","4/20/2014",29,"Mali","Deaths",0,0
"289","4/21/2014",30,"Guinea","Cases",0,208
"290","4/21/2014",30,"Guinea","Deaths",0,136
"291","4/21/2014",30,"Liberia","Cases",7,34
"292","4/21/2014",30,"Liberia","Deaths",0,13
"293","4/21/2014",30,"SierraLeone","Cases",0,12
"294","4/21/2014",30,"SierraLeone","Deaths",0,5
"295","4/21/2014",30,"Nigeria","Cases",0,0
"296","4/21/2014",30,"Nigeria","Deaths",0,0
"297","4/21/2014",30,"Senegal","Cases",0,0
"298","4/21/2014",30,"Senegal","Deaths",0,0
"299","4/21/2014",30,"UnitedStates","Cases",0,0
"300","4/21/2014",30,"UnitedStates","Deaths",0,0
"301","4/21/2014",30,"Spain","Cases",0,0
"302","4/21/2014",30,"Spain","Deaths",0,0
"303","4/21/2014",30,"Mali","Cases",0,0
"304","4/21/2014",30,"Mali","Deaths",0,0
"305","4/22/2014",31,"Guinea","Cases",0,208
"306","4/22/2014",31,"Guinea","Deaths",0,136
"307","4/22/2014",31,"Liberia","Cases",0,34
"308","4/22/2014",31,"Liberia","Deaths",0,13
"309","4/22/2014",31,"SierraLeone","Cases",0,12
"310","4/22/2014",31,"SierraLeone","Deaths",0,5
"311","4/22/2014",31,"Nigeria","Cases",0,0
"312","4/22/2014",31,"Nigeria","Deaths",0,0
"313","4/22/2014",31,"Senegal","Cases",0,0
"314","4/22/2014",31,"Senegal","Deaths",0,0
"315","4/22/2014",31,"UnitedStates","Cases",0,0
"316","4/22/2014",31,"UnitedStates","Deaths",0,0
"317","4/22/2014",31,"Spain","Cases",0,0
"318","4/22/2014",31,"Spain","Deaths",0,0
"319","4/22/2014",31,"Mali","Cases",0,0
"320","4/22/2014",31,"Mali","Deaths",0,0
"321","4/23/2014",32,"Guinea","Cases",10,218
"322","4/23/2014",32,"Guinea","Deaths",5,141
"323","4/23/2014",32,"Liberia","Cases",0,34
"324","4/23/2014",32,"Liberia","Deaths",0,13
"325","4/23/2014",32,"SierraLeone","Cases",0,12
"326","4/23/2014",32,"SierraLeone","Deaths",0,5
"327","4/23/2014",32,"Nigeria","Cases",0,0
"328","4/23/2014",32,"Nigeria","Deaths",0,0
"329","4/23/2014",32,"Senegal","Cases",0,0
"330","4/23/2014",32,"Senegal","Deaths",0,0
"331","4/23/2014",32,"UnitedStates","Cases",0,0
"332","4/23/2014",32,"UnitedStates","Deaths",0,0
"333","4/23/2014",32,"Spain","Cases",0,0
"334","4/23/2014",32,"Spain","Deaths",0,0
"335","4/23/2014",32,"Mali","Cases",0,0
"336","4/23/2014",32,"Mali","Deaths",0,0
"337","4/24/2014",33,"Guinea","Cases",0,218
"338","4/24/2014",33,"Guinea","Deaths",0,141
"339","4/24/2014",33,"Liberia","Cases",1,35
"340","4/24/2014",33,"Liberia","Deaths",0,13
"341","4/24/2014",33,"SierraLeone","Cases",0,12
"342","4/24/2014",33,"SierraLeone","Deaths",0,5
"343","4/24/2014",33,"Nigeria","Cases",0,0
"344","4/24/2014",33,"Nigeria","Deaths",0,0
"345","4/24/2014",33,"Senegal","Cases",0,0
"346","4/24/2014",33,"Senegal","Deaths",0,0
"347","4/24/2014",33,"UnitedStates","Cases",0,0
"348","4/24/2014",33,"UnitedStates","Deaths",0,0
"349","4/24/2014",33,"Spain","Cases",0,0
"350","4/24/2014",33,"Spain","Deaths",0,0
"351","4/24/2014",33,"Mali","Cases",0,0
"352","4/24/2014",33,"Mali","Deaths",0,0
"353","4/26/2014",35,"Guinea","Cases",6,224
"354","4/26/2014",35,"Guinea","Deaths",2,143
"355","4/26/2014",35,"Liberia","Cases",0,35
"356","4/26/2014",35,"Liberia","Deaths",0,13
"357","4/26/2014",35,"SierraLeone","Cases",0,12
"358","4/26/2014",35,"SierraLeone","Deaths",0,5
"359","4/26/2014",35,"Nigeria","Cases",0,0
"360","4/26/2014",35,"Nigeria","Deaths",0,0
"361","4/26/2014",35,"Senegal","Cases",0,0
"362","4/26/2014",35,"Senegal","Deaths",0,0
"363","4/26/2014",35,"UnitedStates","Cases",0,0
"364","4/26/2014",35,"UnitedStates","Deaths",0,0
"365","4/26/2014",35,"Spain","Cases",0,0
"366","4/26/2014",35,"Spain","Deaths",0,0
"367","4/26/2014",35,"Mali","Cases",0,0
"368","4/26/2014",35,"Mali","Deaths",0,0
"369","5/1/2014",40,"Guinea","Cases",2,226
"370","5/1/2014",40,"Guinea","Deaths",6,149
"371","5/1/2014",40,"Liberia","Cases",0,35
"372","5/1/2014",40,"Liberia","Deaths",0,13
"373","5/1/2014",40,"SierraLeone","Cases",0,12
"374","5/1/2014",40,"SierraLeone","Deaths",0,5
"375","5/1/2014",40,"Nigeria","Cases",0,0
"376","5/1/2014",40,"Nigeria","Deaths",0,0
"377","5/1/2014",40,"Senegal","Cases",0,0
"378","5/1/2014",40,"Senegal","Deaths",0,0
"379","5/1/2014",40,"UnitedStates","Cases",0,0
"380","5/1/2014",40,"UnitedStates","Deaths",0,0
"381","5/1/2014",40,"Spain","Cases",0,0
"382","5/1/2014",40,"Spain","Deaths",0,0
"383","5/1/2014",40,"Mali","Cases",0,0
"384","5/1/2014",40,"Mali","Deaths",0,0
"385","5/3/2014",42,"Guinea","Cases",5,231
"386","5/3/2014",42,"Guinea","Deaths",6,155
"387","5/3/2014",42,"Liberia","Cases",0,35
"388","5/3/2014",42,"Liberia","Deaths",0,13
"389","5/3/2014",42,"SierraLeone","Cases",0,12
"390","5/3/2014",42,"SierraLeone","Deaths",0,5
"391","5/3/2014",42,"Nigeria","Cases",0,0
"392","5/3/2014",42,"Nigeria","Deaths",0,0
"393","5/3/2014",42,"Senegal","Cases",0,0
"394","5/3/2014",42,"Senegal","Deaths",0,0
"395","5/3/2014",42,"UnitedStates","Cases",0,0
"396","5/3/2014",42,"UnitedStates","Deaths",0,0
"397","5/3/2014",42,"Spain","Cases",0,0
"398","5/3/2014",42,"Spain","Deaths",0,0
"399","5/3/2014",42,"Mali","Cases",0,0
"400","5/3/2014",42,"Mali","Deaths",0,0
"401","5/5/2014",44,"Guinea","Cases",4,235
